tablescraper-selected-row href,icon src,name,brief,count
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.backup-x,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.backup-x/icon.png,backup-x,带Web界面的数据库/文件备份增强工具,2
https://lazycat.cloud/appstore/detail/in.zhaoj.webdb,https://dl.lazycat.cloud/appstore/metarepo/apps/in.zhaoj.webdb/icon.png,WebDB,免费数据库集成开发环境,2
https://lazycat.cloud/appstore/detail/in.zhaoj.vulfocus,https://dl.lazycat.cloud/appstore/metarepo/apps/in.zhaoj.vulfocus/icon.png,Vulfocus,漏洞集成平台，开箱即用,2
https://lazycat.cloud/appstore/detail/xyz.mxue.emlog,https://dl.lazycat.cloud/appstore/metarepo/apps/xyz.mxue.emlog/icon.png,emlog,轻量级开源博客及建站系统,2
https://lazycat.cloud/appstore/detail/yapi,https://dl.lazycat.cloud/appstore/metarepo/apps/yapi/icon.png,yapi,开源的接口管理平台,2
https://lazycat.cloud/appstore/detail/in.zhaoj.ots,https://dl.lazycat.cloud/appstore/metarepo/apps/in.zhaoj.ots/icon.png,OTS,一次性秘密共享平台,2
https://lazycat.cloud/appstore/detail/in.zhaoj.dumbkan,https://dl.lazycat.cloud/appstore/metarepo/apps/in.zhaoj.dumbkan/icon.png,DumbKan,轻量级看板应用程序,2
https://lazycat.cloud/appstore/detail/in.zhaoj.dumbbudget,https://dl.lazycat.cloud/appstore/metarepo/apps/in.zhaoj.dumbbudget/icon.png,DumbBudget,简单的预算应用程序,2
https://lazycat.cloud/appstore/detail/lazycat.app.zdir3,https://dl.lazycat.cloud/appstore/metarepo/apps/lazycat.app.zdir3/icon.png,zdir3,多功能文件分享程序,2
https://lazycat.cloud/appstore/detail/in.zhaoj.pikachu,https://dl.lazycat.cloud/appstore/metarepo/apps/in.zhaoj.pikachu/icon.png,PikaChu,Pikachu是一个带有漏洞的Web应用系统，在这里包含了常见的web安全漏洞。,2
https://lazycat.cloud/appstore/detail/me.stringke.app.dagu,https://dl.lazycat.cloud/appstore/metarepo/apps/me.stringke.app.dagu/icon.png,dagu,工作流管理系统,2
https://lazycat.cloud/appstore/detail/app.ikw.lzc.jaeger,https://dl.lazycat.cloud/appstore/metarepo/apps/app.ikw.lzc.jaeger/icon.png,Jaeger,开源的分布式跟踪系统,2
https://lazycat.cloud/appstore/detail/dev.beiyu.wakapi,https://dl.lazycat.cloud/appstore/metarepo/apps/dev.beiyu.wakapi/icon.png,WakAPI,轻量级的WakaTime后端,2
https://lazycat.cloud/appstore/detail/me.stringke.app.kotaemon,https://dl.lazycat.cloud/appstore/metarepo/apps/me.stringke.app.kotaemon/icon.png,kotaemon,与文档聊天的魔法工具,2
https://lazycat.cloud/appstore/detail/dev.beiyu.vikunja,https://dl.lazycat.cloud/appstore/metarepo/apps/dev.beiyu.vikunja/icon.png,Vikunja,自托管事项管理应用,2
https://lazycat.cloud/appstore/detail/io.zeroc.app.mealie,https://dl.lazycat.cloud/appstore/metarepo/apps/io.zeroc.app.mealie/icon.png,mealie,管食谱管理器和膳食计划器,2
https://lazycat.cloud/appstore/detail/chestnut.app.rssbridge,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.rssbridge/icon.png,Rss Bridge,RSS-Bridge 是一个 PHP Web 应用程序。它会为没有 Web 源的网站生成 Web 源。,1
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.ocrqwen,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.ocrqwen/icon.png,OCR Qwen,基于 Qwen 的 OCR 识别应用,1
https://lazycat.cloud/appstore/detail/xu.deploy.taskcafe,https://dl.lazycat.cloud/appstore/metarepo/apps/xu.deploy.taskcafe/icon.png,taskcafe,一个看板管理工具,1
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.wygiwyh,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.wygiwyh/icon.png,WYGIWYH,一款有主见、功能强大的财务跟踪器。,1
https://lazycat.cloud/appstore/detail/com.yousbot.bookologia,https://dl.lazycat.cloud/appstore/metarepo/apps/com.yousbot.bookologia/icon.png,Bookologia,一个专门为知识工作者设计的图书搜索引擎，能够在几秒钟内找到图书。,1
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.veloera,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.veloera/icon.png,Veloera,"优秀的 AI API 网关系统  原汁原味的 New API 体验, 对界面无大改动, 遵循 Apache 2.0 协议, 无商用限制, 承诺不变质. 添加极多原版不计划添加的特性.",1
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.supersecret,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.supersecret/icon.png,SuperSecret,SuperSecret(sup3rS3cretMes5age)是一款使用 HashiCorp Vault 产品作为后台，提供简单、安全的自毁式信息服务的应用。,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.swordsnmagic,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.swordsnmagic/icon.png,Swordsn Magic and Stuff服务端,Swordsn Magic and Stuff服务端,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.ut99,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.ut99/icon.png,UnrealTournament99虚幻竞技场99服务端,UnrealTournament99虚幻竞技场99服务端,1
https://lazycat.cloud/appstore/detail/com.linkstash.app,https://dl.lazycat.cloud/appstore/metarepo/apps/com.linkstash.app/icon.png,LinkStash,自托管的书签和稍后阅读解决方案，让您完全控制保存的链接和离线内容,1
https://lazycat.cloud/appstore/detail/chestnut.app.wingfit,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.wingfit/icon.png,wingfit 健身计划,Wingfit 是一款极简主义的健身应用程序 ，用于组织您的锻炼并跟踪您的个人记录。,1
https://lazycat.cloud/appstore/detail/peterpig.lzcapp.countdown,https://dl.lazycat.cloud/appstore/metarepo/apps/peterpig.lzcapp.countdown/icon.png,Easy Countdown,简单的倒计时工具,1
https://lazycat.cloud/appstore/detail/wcloud.gblw.app.note-taker,https://dl.lazycat.cloud/appstore/metarepo/apps/wcloud.gblw.app.note-taker/icon.png,note-taker,note-taker（笔记记录员），适用于日常小记，快速编写、保存和删除笔记。,1
https://lazycat.cloud/appstore/detail/wcloud.gblw.app.redlines,https://dl.lazycat.cloud/appstore/metarepo/apps/wcloud.gblw.app.redlines/icon.png,redlines,Red Lines 是一款专为进攻型安全从业人员设计的专业记录应用程序。它提供了一种结构化的方法来整理安全评估、渗透测试和安全研究期间的发现。,1
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.xjdpj,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.xjdpj/icon.png,新疆大盘鸡,xjdpj（新疆大盘鸡） 是一款热气腾腾、拥有完全“炒制自主权”的临时文件网盘,1
https://lazycat.cloud/appstore/detail/xyz.mxue.sosse,https://dl.lazycat.cloud/appstore/metarepo/apps/xyz.mxue.sosse/icon.png,Sosse,用于抓取和归档的 Selenium 搜索引擎,1
https://lazycat.cloud/appstore/detail/lazycat.stmoonar.app.moyue,https://dl.lazycat.cloud/appstore/metarepo/apps/lazycat.stmoonar.app.moyue/icon.png,魔曰,Abracadabra(魔曰) 是一个安全高效的文本加密工具，对任意给定数据进行加密处理。,1
https://lazycat.cloud/appstore/detail/peterpig.lzcapp.sharelatex,https://dl.lazycat.cloud/appstore/metarepo/apps/peterpig.lzcapp.sharelatex/icon.png,sharelatex,Overleaf本地部署版本，知名LaTeX在线编辑软件,1
